127.0.0.1 - - [28/Dec/2024:17:17:51 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [28/Dec/2024:17:18:56 +0530] "GET /LoginSignUp/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Dec/2024:17:18:56 +0530] "GET /LoginSignUp/login.jsp HTTP/1.1" 200 3141
0:0:0:0:0:0:0:1 - - [28/Dec/2024:17:18:56 +0530] "GET /LoginSignUp/fonts/material-icon/css/material-design-iconic-font.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2024:17:18:56 +0530] "GET /LoginSignUp/images/signin-image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2024:17:18:56 +0530] "GET /LoginSignUp/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2024:17:18:56 +0530] "GET /LoginSignUp/vendor/jquery/jquery.min.js HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [28/Dec/2024:17:18:56 +0530] "GET /LoginSignUp/alert/dist/sweetalert.css HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [28/Dec/2024:17:18:56 +0530] "GET /LoginSignUp/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2024:17:18:56 +0530] "GET /LoginSignUp/fonts/poppins/poppins-v5-latin-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2024:17:18:56 +0530] "GET /LoginSignUp/fonts/poppins/poppins-v5-latin-700.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2024:17:18:56 +0530] "GET /LoginSignUp/fonts/material-icon/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2024:17:19:17 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:38:26 +0530] "GET /LoginSignUp/login.jsp HTTP/1.1" 200 3052
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:38:26 +0530] "GET /LoginSignUp/vendor/jquery/jquery.min.js HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:38:26 +0530] "GET /LoginSignUp/alert/dist/sweetalert.css HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:38:26 +0530] "GET /LoginSignUp/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:38:26 +0530] "GET /LoginSignUp/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:38:26 +0530] "GET /LoginSignUp/fonts/material-icon/css/material-design-iconic-font.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:38:26 +0530] "GET /LoginSignUp/fonts/poppins/poppins-v5-latin-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:38:26 +0530] "GET /LoginSignUp/fonts/material-icon/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:38:26 +0530] "GET /LoginSignUp/fonts/poppins/poppins-v5-latin-700.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:40:49 +0530] "GET /LoginSignUp/login.jsp HTTP/1.1" 200 3134
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:40:49 +0530] "GET /LoginSignUp/vendor/jquery/jquery.min.js HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:40:49 +0530] "GET /LoginSignUp/images/login.jpg HTTP/1.1" 200 24850
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:40:49 +0530] "GET /LoginSignUp/alert/dist/sweetalert.css HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:40:54 +0530] "GET /LoginSignUp/registration.jsp HTTP/1.1" 200 3808
